"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JFHPFH9Y","journalArticle","2023","Wright, C.E.F.","Board Games: Antecedents of Australia's Interlocking Directorates, 1910-2018","Enterprise and Society","","","10.1017/eso.2021.59","https://www.scopus.com/pages/publications/85123941326?origin=resultslist","Interlocking directorates can encourage innovation, cooperation, and adherence to best practices or can contribute to collusion, corruption, and the stagnation of ideas. Research has identified the contingent nature of director networks, with outcomes dependent on the nature of the tie; the firms and individuals involved; and the institutional, sociopolitical, and cultural context. Distinguishing between helpful and harmful interlocks thus requires understanding the foundations on which they were built. This article is the first systematic, longitudinal analysis of the antecedents of interlocking directorates in Australia, complementing substantial international efforts to understand and compare director networks across the twentieth century. The network has been characterized by a relatively consistent long-run level of connection but substantial variation in the causes of interlocks. The director network in Australia has responded to the pragmatics of the board member occupation, with corporate governance regulations, the progress of the professions, banking and prudential practices, and the form of large organizations encouraging ties that were built on professional expertise and geographic proximity. These findings are important for policy makers, regulatory bodies, and scholars, highlighting the importance of understanding the contextual foundations of interlocks when assessing their potential for harm.  © The Author(s), 2022. Published by Cambridge University Press on behalf of the Business History Conference. All rights reserved.","2023","2026-07-20 03:46:14","2026-07-20 03:46:14","","589-616","","2","24.0","","Enterprise and Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E7JN46ZV","journalArticle","2020","Sewpersadh, N.S.","Governing board attributes as profitability influencers under endogeneity: An econometric analysis in South Africa","ACRN Journal of Finance and Risk Perspectives","","","10.35944/jofrp.2019.8.1.009","https://www.scopus.com/pages/publications/85079681878?origin=resultslist","Presently, the oversight role performed by the governing board has been interrogated due to the demise of several corporate giants. The governing board is responsible for advancing the strategic direction of the company by ensuring superior performance whilst managing risks. Accordingly, this study investigated whether the governing board has any influence on a firm’s profitability by using OLS and GMM estimation on an unbalanced panel of 130 firms over a six-year period. ROA served as a proxy for firm performance and several board-level governance variables were selected namely board size, board independence, CEO duality, director qualifications, and board interlocks. From an econometric contribution, this study found that the addition of instrument variables in the GMM estimation model has proven to be robust in examining corporate governance variables. GMM is also robust in controlling endogeneity and a possible bi-directional causality between board and profitability. From a theoretical contribution, agency, resource dependence and management hegemony theories are highly prevalent in the governing boards of the JSE. The results of this study are as envisaged in the SCP paradigm. All hypotheses were supported, showing overall that profitability is significantly influenced by the board attributes. This study provides a useful analysis of the theoretical framework used by academic writers as a foundation for model specification as well as contributes to the econometric methodology of corporate governance. These findings will also advise future researchers, stakeholders and regulators in better understanding the role of board composition from a profit maximisation and sustainability outlook. © 2019 by the authors.","2020","2026-07-20 03:46:14","2026-07-20 03:46:14","","133-151","","1","8.0","","ACRN Journal of Finance and Risk Perspectives","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5Y8KZFFB","journalArticle","2023","Mbanyele, W.","Economic policy uncertainty and stock liquidity: the role of board networks in an emerging market","International Journal of Emerging Markets","","","10.1108/IJOEM-05-2020-0492","https://www.scopus.com/pages/publications/85103913929?origin=resultslist","Purpose: The purpose of this study is to examine the role of board networks in promoting stock liquidity when there is high economic policy uncertainty using a sample of Brazilian firms from 2002 to 2015. Design/methodology/approach: The study employs the ordinary least squares estimation method with standard errors clustered at the firm level for preliminary analysis, besides the study employs the two-step GMM dynamic estimation method to deal with potential endogeneity issues. Findings: First, the findings show that economic policy uncertainty disproportionately contributes to stock illiquidity and the impact is mainly prominent for high risky companies, small firms and firms in competitive industries. Second, the author provides evidence that board networks promote stock liquidity more via the information channel when economic policy uncertainty is very high. Practical implications: Given the adverse effects of economic policy uncertainty on stock liquidity, governments need to swiftly communicate and implement policies that affect the capital market to avoid the drying up of liquidity, which is exacerbated by communication or implementation lags. Also, there is a need for the regulators to continuously encourage the inclusion of independent directors in boards, which helps to increase board monitoring capacity and the firms' ability to respond to changes in the external environment. Originality/value: Unlike other studies that focus on the adverse effects of economic policy uncertainty on firm outcomes, the novel contribution is that the author uncovers the role of board networks in mitigating the negative effects of economic policy uncertainty on stock liquidity. © 2021, Emerald Publishing Limited.","2023","2026-07-20 03:46:14","2026-07-20 03:46:14","","122-147","","1","18.0","","International Journal of Emerging Markets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6MULCU7X","journalArticle","2020","Renneboog, L.; Zhao, Y.","Director networks, turnover, and appointments","European Financial Management","","","10.1111/eufm.12213","https://www.scopus.com/pages/publications/85062329098?origin=resultslist","This paper analyzes the labor market (turnover and appointments) of executive and non-executive directors by means of social network methodology. We find that directors with strong networks are able to obtain labor market information that enables them to leave their firm more easily for better opportunities. Networks also mitigate information asymmetry problems of external director appointments. Furthermore, the strong impact of indirect connections is in line with the ‘strength of the weak ties’ theory. The fact that direct connections are less important signifies that the connections to people that are close and local are likely to convey redundant information, whereas connections to distant individuals are more efficient in terms of information acquisition and labor market performance improvement. © 2019 John Wiley & Sons, Ltd.","2020","2026-07-20 03:46:14","2026-07-20 03:46:14","","44-76","","1","26.0","","European Financial Management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92BP98BP","journalArticle","2013","Romano, M.; Favino, C.","Board composition and interlocking directorate evolution as a consequence of the recent financial crisis: Evidence from Italian listed companies","Corporate Ownership and Control","","","10.22495/cocv11i1c1art5","https://www.scopus.com/pages/publications/84885784650?origin=resultslist","The recent systemic crisis that has affected the financial markets and real economies of major industrialized countries has had significant effects on the corporate governance and key organizational choices of large firms. In this context, the present study aims to verify whether the international crisis has significantly changed the structure of the interlocking directorate network that links large firms in the regulated Italian market. To this end, the first part of the paper presents an analysis of the evolution of corporate governance in the main European regulated markets through a comparative analysis of some synthetic statistical data observed at the end of the years 2006, 2008 and 2010. In the second part, after framing the concept of interlocking directorate in a theoretical perspective, we examine the evolution of the network of personal ties between large Italian listed companies in the period of observation (2006-2010) using Social Network Analysis.","2013","2026-07-20 03:46:14","2026-07-20 03:46:14","","175-193","","1 B,CONT 2","11.0","","Corporate Ownership and Control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MABZCYXT","journalArticle","2018","Guo, C.; Lv, P.","Network position of independent director in cross-border mergers and acquisitions","International Journal of Emerging Markets","","","10.1108/IJoEM-01-2017-0027","https://www.scopus.com/pages/publications/85041733971?origin=resultslist","Purpose: The purpose of this paper is to consider the impact of network position of independent directors on the decision-making process of cross-border mergers and acquisitions (CBMAs). Design/methodology/approach: With 912 CBMAs constructed by 431 Chinese-listed corporations from 2006 to 2015, the authors provide graph-theoretical methods to quantify directors’ networks and build logistics models of CBMA success and generalized linear model for transaction value. Findings: The authors find that independent directors in central positions of board networks of CBMA significantly strengthen the possibility of success of CBMA and react more positively to large CBMA. The results reveal that state-owned enterprises reduce the importance of independent directors in central positions in assisting successful CBMA, but strengthen the importance in promoting large CBMA. Specifically, majority shareholders counteract the importance of independent directors in central positions in assisting successful CBMA, but improve the importance in promoting large CBMA. Originality/value: The findings suggest that independent directors in central positions, which are embedded in sets of board relationships and interactions, lead to efficient external corporate governance as a mechanism to facilitate a Chinese-listed firm’s CBMA decision making. © 2018, Emerald Publishing Limited.","2018","2026-07-20 03:46:14","2026-07-20 03:46:14","","118-135","","1","13.0","","International Journal of Emerging Markets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XJC7JFM8","journalArticle","2019","Marx, C.","Between national governance and the internationalisation of business. The case of four major West German producers of chemicals, pharmaceuticals and fibres, 1945–2000","Business History","","","10.1080/00076791.2017.1284201","https://www.scopus.com/pages/publications/85013031852?origin=resultslist","Although German companies lost their foreign assets after World War II, they returned quickly to the world market after 1945. While internationalisation during the post-war boom was mainly based on exports, foreign direct investment (FDI) increased enormously since the late 1960s. Simultaneously, the companies remained part of the German corporate network as a typical characteristic of Rhenish capitalism. Unlike many Varieties-of-Capitalism (VoC) studies dealing with the macro-level picture of whole economies, the article reconsiders the idea that firms should be at the centre of analysis and examines the responses of four major West German producers of chemicals, pharmaceuticals and fibres to the tension between national corporate governance and increasing internationalisation. © 2017, © 2017 Informa UK Limited, trading as Taylor & Francis Group.","2019","2026-07-20 03:46:14","2026-07-20 03:46:14","","833-862","","5","61.0","","Business History","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S3YGSLZB","journalArticle","2023","Poghosyan, T.; Badar, K.; Hite, J.M.","The interaction of board network structure and network content on firm innovation","European Journal of International Management","","","10.1504/EJIM.2023.132432","https://www.scopus.com/pages/publications/85168705929?origin=resultslist","This study, extending prior research on the effect of strategic networks on firm performance, examines the impact of board networks on firm innovation. This research examines firm innovation based on the roles and interactions of the debated network structures (structural holes vs. network closure) and network content (network diversity in terms of industry diversity, network resourcefulness in terms of partners' assets and partners' exports) available through board ties with partner firms. Employing social network data of board interlocks in year 2005, an innovation survey for the period 2008-2010 and the firms' financial variables for the period 2000-2010, the hypothesised model was tested using a probit model. Findings from the board network of 192 Armenian firms provide empirical evidence of the influence of the interaction between structural holes and industry diversity and partners' exports on firm innovation. Hence, this study finds that while board network structure does matter, structure alone does not explain firm innovation. Rather, the combination of specific network structures and specific types of network content stands to provide critical value for firm innovation.  © 2023 Inderscience Enterprises Ltd.","2023","2026-07-20 03:46:14","2026-07-20 03:46:14","","529-549","","4","20.0","","European Journal of International Management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFTUBCR7","journalArticle","1999","Rao, H.; Sivakumar, K.","Institutional Sources of Boundary-Spanning Structures: The Establishment of Investor Relations Departments in the Fortune 500 Industrials","Organization Science","","","10.1287/orsc.10.1.27","https://www.scopus.com/pages/publications/0033406573?origin=resultslist","The authors analyze the coercive and mimetic conditions leading to the establishment of investor relations departments among Fortune 500 industrial firms during the 1984-1994 period. The results show that antimanagement resolutions brought to a vote by social movement activists significantly contributed to the establishment of investor relations departments. Intense scrutiny by financial analysts also impelled firms to create such departments. Whereas social movement activists framed shareholder rights as a problem and compelled organizations to uphold them, professional analysts subtly coerced organizations to signal their commitment to investor rights by creating boundary-spanning structures. That solution was transmitted through board interlocks to other organizations.","1999","2026-07-20 03:46:14","2026-07-20 03:46:14","","27-42","","1","10.0","","Organization Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GU78P42","journalArticle","2023","Li, W.; Zhang, J.Z.; Ding, R.","Impact of Directors’ Network on Corporate Social Responsibility Disclosure: Evidence from China","Journal of Business Ethics","","","10.1007/s10551-022-05092-3","https://www.scopus.com/pages/publications/85127237311?origin=resultslist","Using listed firms in China over the period 2010–2018, we investigate the association between directors’ network and quality of corporate social responsibility (CSR) disclosure from the lens of resource-based view. We find a significantly positive effect of directors’ network centrality on the CSR disclosure quality, and the effect is more pronounced when the firm (1) invests less in advertising; (2) is followed by less analysts; (3) is less financially constrained; and (4) has no assurance of sustainability report. Furthermore, we document that independent directors’ network centrality is positively associated with CSR disclosure quality. Our findings have important implication for practitioners, policy makers, and regulators. © 2022, The Author(s), under exclusive licence to Springer Nature B.V.","2023","2026-07-20 03:46:14","2026-07-20 03:46:14","","551-583","","2","183.0","","Journal of Business Ethics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W2VQLK4H","journalArticle","2020","Withers, M.C.; Howard, M.D.; Tihanyi, L.","You've got a friend: Examining board interlock formation after financial restatements","Organization Science","","","10.1287/orsc.2019.1319","https://www.scopus.com/pages/publications/85086113302?origin=resultslist","We investigate the impact of financial restatements as critical events that influence board interlock formation among Fortune 500 firms during the 2009-2013 period. Our empirical study is based on a longitudinal analysis of tie formation while accounting for dynamic changes in the behavior and characteristics of network nodes using stochastic actor-oriented models. We find that firms facing financial restatements experience disruption in network ties. However, social status helps mitigate these effects, and restating firms build new ties through socially embedded processes, such as reciprocity and transitivity. Our work contributes to the understanding of how interorganizational relationships are altered as a result of financial restatement events. Copyright: © 2020 INFORMS","2020","2026-07-20 03:46:14","2026-07-20 03:46:14","","742-769","","3","31.0","","Organization Science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
